NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME DA EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
135 GRAUS INCORPORACAO E EMPREENDIMENTOS IMOBILIAR;25/07/1996;1260195;01/03/2016;***;INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS;***;***;R. ANGÉLICA KENSKI;000046;***;***;***;CAJURU;82980170
14 BRASIL TELECOM CELULAR S/A;04/05/2004;654596;17/09/2004;***;COMÉRCIO ATACADISTA DE EQUIPAMENTOS DE INFORMÁTICA;TELEFONIA MÓVEL CELULAR;***;R. ESTRADA DA GRACIOSA;000870;***;***;***;ATUBA;82840360
14 BRASIL TELECOM CELULAR S/A;04/05/2004;914977;10/12/2009;***;COMÉRCIO ATACADISTA DE APARELHOS ELETRÔNICOS DE US;TELEFONIA MÓVEL CELULAR;***;R. ESTRADA DA GRACIOSA;000870;***;***;***;ATUBA;82840360
14 BRASIL TELECOM CELULAR S/A;07/02/2013;1122010;04/03/2013;31/12/2013;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS D;REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE;***;R. PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA;000600;***;***;***;MOSSUNGUÊ;81200100
14 NOVE EMPREENDIMENTOS IMOBILIARIOS LTDA;20/10/2015;1244960;27/10/2015;***;LOTEAMENTO DE IMÓVEIS PRÓPRIOS;ALUGUEL DE IMÓVEIS PRÓPRIOS;***;AV. VEREADOR TOALDO TÚLIO;002586;***;***;***;SÃO BRAZ;82300332
14 ZERO 9 MARKETING E COMUNICACAO LTDA;10/08/2009;1057524;01/03/2012;***;AGÊNCIAS DE PUBLICIDADE;***;***;R. RUY ARZUA PEREIRA;000109;***;***;***;ABRANCHES;82130190
144 COMUNICACAO LTDA - ME;14/09/2012;1229851;01/07/2015;***;PROMOÇÃO DE VENDAS;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENC;EDIÇÃO DE JORNAIS NÃO DIÁRIOS;R. ALBINO SILVA;000054;0004;***;***;SÃO FRANCISCO;80520210
147 CAR PARK ESTACIONAMENTO LTDA - ME;25/11/2002;816827;25/08/2008;30/04/2009;ESTACIONAMENTO DE VEÍCULOS;SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE V;***;R. MARECHAL JOSÉ BERNARDINO BORMANN;001580;***;***;***;BIGORRILHO;80710500
150ML REPRESENTAÇÕES COMERCIAIS LTDA.;20/06/2006;907707;10/12/2009;***;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMÉ;***;***;R. PROFESSOR JOSÉ MAURÍCIO HIGGINS;001802;03;***;TÉRREO;BOQUEIRÃO;81670410
153BBA PUBLICIDADE PROPAGANDA E MARKETING LTDA - M;14/05/2015;1230954;09/07/2015;***;AGÊNCIAS DE PUBLICIDADE;CONSULTORIA EM PUBLICIDADE;MARKETING DIRETO;AL. PRUDENTE DE MORAES;000388;***;***;***;MERCÊS;80430234
